t req.     t meas.    endTime                  =========== File ============
1.0000000  1.0000000  2023-11-05T23:20:57.660  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00001.tif
1.0000000  1.0000000  2023-11-05T23:20:58.759  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00002.tif
1.0000000  1.0000000  2023-11-05T23:20:59.859  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00003.tif
1.0000000  1.0000000  2023-11-05T23:21:00.959  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00004.tif
1.0000000  1.0000000  2023-11-05T23:21:02.058  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00005.tif
1.0000000  1.0000000  2023-11-05T23:21:03.159  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00006.tif
1.0000000  1.0000000  2023-11-05T23:21:04.258  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00007.tif
1.0000000  1.0000000  2023-11-05T23:21:05.359  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00008.tif
1.0000000  1.0000000  2023-11-05T23:21:06.458  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00009.tif
1.0000000  1.0000000  2023-11-05T23:21:07.560  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00010.tif
1.0000000  1.0000000  2023-11-05T23:21:08.658  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00011.tif
1.0000000  1.0000000  2023-11-05T23:21:09.759  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00012.tif
1.0000000  1.0000000  2023-11-05T23:21:10.859  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00013.tif
1.0000000  1.0000000  2023-11-05T23:21:11.959  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00014.tif
1.0000000  1.0000000  2023-11-05T23:21:13.059  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00015.tif
1.0000000  1.0000000  2023-11-05T23:21:14.159  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00016.tif
1.0000000  1.0000000  2023-11-05T23:21:15.259  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00017.tif
1.0000000  1.0000000  2023-11-05T23:21:16.359  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00018.tif
1.0000000  1.0000000  2023-11-05T23:21:17.458  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00019.tif
1.0000000  1.0000000  2023-11-05T23:21:17.961  /public/Data/2023/202311/20231105/yongfeng/Ecoli_70_0011_00020.tif
--------- End ----------------------------
