t req.     t meas.    endTime                  =========== File ============
1.0000000  1.0000000  2023-11-05T23:18:17.833  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00001.tif
1.0000000  1.0000000  2023-11-05T23:18:18.932  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00002.tif
1.0000000  1.0000000  2023-11-05T23:18:20.032  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00003.tif
1.0000000  1.0000000  2023-11-05T23:18:21.132  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00004.tif
1.0000000  1.0000000  2023-11-05T23:18:22.232  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00005.tif
1.0000000  1.0000000  2023-11-05T23:18:23.332  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00006.tif
1.0000000  1.0000000  2023-11-05T23:18:24.432  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00007.tif
1.0000000  1.0000000  2023-11-05T23:18:25.532  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00008.tif
1.0000000  1.0000000  2023-11-05T23:18:26.632  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00009.tif
1.0000000  1.0000000  2023-11-05T23:18:27.734  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00010.tif
1.0000000  1.0000000  2023-11-05T23:18:28.832  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00011.tif
1.0000000  1.0000000  2023-11-05T23:18:29.932  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00012.tif
1.0000000  1.0000000  2023-11-05T23:18:31.032  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00013.tif
1.0000000  1.0000000  2023-11-05T23:18:32.132  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00014.tif
1.0000000  1.0000000  2023-11-05T23:18:33.232  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00015.tif
1.0000000  1.0000000  2023-11-05T23:18:34.332  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00016.tif
1.0000000  1.0000000  2023-11-05T23:18:35.432  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00017.tif
1.0000000  1.0000000  2023-11-05T23:18:36.532  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00018.tif
1.0000000  1.0000000  2023-11-05T23:18:37.632  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00019.tif
1.0000000  1.0000000  2023-11-05T23:18:38.135  /public/Data/2023/202311/20231105/yongfeng/buffer_70_0010_00020.tif
--------- End ----------------------------
