t req.     t meas.    endTime                  =========== File ============
1.0000000  1.0000000  2023-11-05T22:19:19.333  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00001.tif
1.0000000  1.0000000  2023-11-05T22:19:20.432  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00002.tif
1.0000000  1.0000000  2023-11-05T22:19:21.532  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00003.tif
1.0000000  1.0000000  2023-11-05T22:19:22.632  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00004.tif
1.0000000  1.0000000  2023-11-05T22:19:23.732  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00005.tif
1.0000000  1.0000000  2023-11-05T22:19:24.832  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00006.tif
1.0000000  1.0000000  2023-11-05T22:19:25.932  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00007.tif
1.0000000  1.0000000  2023-11-05T22:19:27.032  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00008.tif
1.0000000  1.0000000  2023-11-05T22:19:28.132  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00009.tif
1.0000000  1.0000000  2023-11-05T22:19:29.234  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00010.tif
1.0000000  1.0000000  2023-11-05T22:19:30.332  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00011.tif
1.0000000  1.0000000  2023-11-05T22:19:31.432  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00012.tif
1.0000000  1.0000000  2023-11-05T22:19:32.534  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00013.tif
1.0000000  1.0000000  2023-11-05T22:19:33.632  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00014.tif
1.0000000  1.0000000  2023-11-05T22:19:34.732  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00015.tif
1.0000000  1.0000000  2023-11-05T22:19:35.832  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00016.tif
1.0000000  1.0000000  2023-11-05T22:19:36.932  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00017.tif
1.0000000  1.0000000  2023-11-05T22:19:38.032  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00018.tif
1.0000000  1.0000000  2023-11-05T22:19:39.132  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00019.tif
1.0000000  1.0000000  2023-11-05T22:19:39.635  /public/Data/2023/202311/20231105/yongfeng/Ecoli_25_0003_00020.tif
--------- End ----------------------------
